nombre_jugador,pais_nacimiento,pais_donde_juega,posicion,edad,numero_partidos_seleccion,goles_seleccion
Mateo Fernández Molina,Argentina,Alemania,Mediocampista defensivo,18,6,1
Aaron Mooy,Australia,Alemania,Mediocampista ofensivo,26,26,4
Kyle Green,Inglaterra,Australia,Delantero centro,29,61,13
Emiliano Pérez,Argentina,España,Lateral izquierdo,28,66,8
Javier López,México,Inglaterra,Defensa central,31,60,1
Mathew Smith,Australia,Australia,Extremo derecho,18,1,1
Boulaye Gueye Diallo,Senegal,Senegal,Lateral izquierdo,18,3,0
Niklas Fischer,Alemania,Alemania,Mediocampista defensivo,30,46,1
Gavi Moreno Pérez,España,España,Lateral izquierdo,22,33,5
Rúben Silva,Portugal,Portugal,Mediocampista defensivo,36,36,3
Mitchell Duke,Australia,Argentina,Lateral derecho,26,43,1
Niklas Schneider,Alemania,Portugal,Mediocampista defensivo,31,44,1
Álvaro Moreno,España,Francia,Lateral derecho,39,77,7
Lamine Dieng,Senegal,España,Delantero centro,34,66,8
Rodrygo Almeida,Brasil,Brasil,Mediocampista defensivo,22,3,1
Bukayo Jones,Inglaterra,Inglaterra,Mediocampista ofensivo,30,99,19
Noah Miller Pulisic,Estados Unidos,Ecuador,Delantero centro,35,120,41
Callum White Wilson,Inglaterra,Inglaterra,Delantero centro,34,72,40
Antoine Petit Petit,Francia,Francia,Extremo derecho,19,7,5
Bukayo Walker,Inglaterra,Inglaterra,Delantero centro,23,18,6
Anas Hakimi,Marruecos,Inglaterra,Lateral derecho,19,8,0
Nuno Pereira Silva,Portugal,Alemania,Defensa central,28,37,2
José Caicedo,Ecuador,Ecuador,Lateral derecho,32,46,7
Kingsley Dubois Diaby,Francia,Portugal,Delantero centro,26,30,13
Nayef Hakimi,Marruecos,Marruecos,Delantero centro,34,75,47
Santiago Rodríguez,Argentina,Francia,Arquero,38,62,0
João Santos Souza,Brasil,España,Mediocampista defensivo,38,103,4
Miles Johnson Pulisic,Estados Unidos,Estados Unidos,Defensa central,38,77,3
Jude Jones,Inglaterra,Inglaterra,Defensa central,36,118,1
Michael Preciado,Ecuador,Ecuador,Extremo derecho,36,42,18
Ao Ito,Japón,Japón,Defensa central,37,27,1
Sergio Torres,España,Inglaterra,Defensa central,23,45,4
Gavi Torres,España,España,Lateral izquierdo,18,4,1
Nayef Benali,Marruecos,Francia,Lateral derecho,25,21,2
João Almeida,Brasil,Brasil,Defensa central,38,14,1
Rodrygo Lima,Brasil,Brasil,Mediocampista ofensivo,20,2,1
Anas Amrabat,Marruecos,Marruecos,Extremo izquierdo,37,84,15
Pape Koulibaly,Senegal,Senegal,Extremo izquierdo,26,19,6
Marcus Walker,Inglaterra,Inglaterra,Mediocampista ofensivo,28,49,6
Phil Wright Wilson,Inglaterra,Inglaterra,Defensa central,37,65,2
Diogo Gomes,Portugal,Portugal,Mediocampista defensivo,35,32,3
Luis Arboleda,Ecuador,Argentina,Extremo izquierdo,37,111,25
Nicolas Ndiaye,Senegal,Senegal,Defensa central,39,74,5
Vitinha Oliveira,Portugal,Portugal,Arquero,20,22,0
Nayef Ziyech,Marruecos,España,Delantero centro,36,86,31
Olivier Petit,Francia,Francia,Delantero centro,32,10,10
Ahmed Okafor,Nigeria,Nigeria,Extremo derecho,26,13,6
Rafael Souza,Brasil,Brasil,Delantero centro,19,1,1
Mathew Mooy Duke,Australia,Alemania,Delantero centro,35,68,33
André Santos,Portugal,Argentina,Mediocampista ofensivo,19,7,6
Samuel Balogun Musa,Nigeria,Nigeria,Extremo izquierdo,26,54,8
Victor Omeruo Balogun,Nigeria,Nigeria,Delantero centro,34,41,21
Diego Ramírez,México,México,Lateral derecho,39,111,1
Timothy Adams,Estados Unidos,Estados Unidos,Extremo derecho,33,88,25
Nabil Dubois,Francia,Estados Unidos,Extremo izquierdo,30,50,10
Emmanuel Osimhen,Nigeria,Brasil,Delantero centro,32,37,13
Santiago García,México,México,Extremo izquierdo,27,54,8
Sergio Moreno,España,España,Lateral derecho,29,30,6
Nabil Mbappé Bernard,Francia,Brasil,Mediocampista defensivo,27,34,5
Julián Martínez,Argentina,México,Extremo izquierdo,33,74,6
Rafael Pereira Costa,Portugal,Francia,Extremo izquierdo,28,72,7
Ismaïla Cissé,Senegal,Senegal,Lateral izquierdo,23,36,1
Pedri Rodríguez,España,Brasil,Lateral derecho,25,35,0
Raúl Rodríguez Ramírez,México,México,Mediocampista defensivo,34,112,2
Kyle Walker,Inglaterra,Alemania,Defensa central,36,49,1
Thiago Álvarez Pérez,Argentina,Brasil,Extremo derecho,29,70,7
Mehdi Mazraoui,Marruecos,México,Lateral izquierdo,21,34,2
Daichi Suzuki,Japón,Australia,Delantero centro,37,98,18
Shoya Sato,Japón,Japón,Mediocampista ofensivo,30,51,20
Ilias Hakimi,Marruecos,Marruecos,Defensa central,20,21,0
Takefusa Sato,Japón,Japón,Mediocampista defensivo,34,113,7
Blake Irvine,Australia,Inglaterra,Defensa central,34,62,5
Kyle White King,Inglaterra,Inglaterra,Extremo izquierdo,28,19,7
Serge Becker,Alemania,Alemania,Mediocampista defensivo,36,39,4
Kyle Taylor,Inglaterra,Inglaterra,Extremo izquierdo,19,6,6
Manuel Fischer,Alemania,España,Defensa central,24,60,3
Kai Richter,Alemania,Alemania,Lateral izquierdo,24,39,2
Hiroki Kobayashi,Japón,Japón,Lateral izquierdo,19,9,1
Kylian Diaby,Francia,Francia,Extremo izquierdo,20,9,6
Carlos Cedeño,Ecuador,Brasil,Mediocampista defensivo,27,10,1
Thomas Schneider,Alemania,España,Lateral derecho,22,28,3
Boulaye Fall,Senegal,España,Delantero centro,27,70,41
Carlos Rodríguez,España,España,Defensa central,18,5,0
Yuto Endo,Japón,Australia,Lateral derecho,21,34,0
Alex Omeruo,Nigeria,Nigeria,Mediocampista defensivo,36,49,2
Harry Maclaren,Australia,Australia,Mediocampista ofensivo,26,44,8
Adrien Diaby,Francia,Ecuador,Defensa central,39,80,3
Abdou Ndiaye,Senegal,Marruecos,Extremo derecho,22,20,7
João Silva,Portugal,Japón,Delantero centro,23,11,11
Lautaro González,Argentina,Argentina,Defensa central,23,45,0
Diego Pereira,Brasil,Argentina,Mediocampista defensivo,31,45,8
Phil Taylor,Inglaterra,Inglaterra,Defensa central,31,21,1
Guillermo Rodríguez Hernández,México,México,Lateral izquierdo,21,13,3
Declan Wright Wright,Inglaterra,Alemania,Arquero,34,89,0
João Silva Costa,Portugal,Portugal,Defensa central,20,1,1
Héctor Sánchez,México,México,Defensa central,35,95,9
Weston Morris,Estados Unidos,Portugal,Delantero centro,24,19,19
Vitinha Neves,Portugal,España,Extremo derecho,35,63,6
Franco Acuña,Argentina,Argentina,Defensa central,25,53,6
Carlos Jiménez,México,Argentina,Defensa central,18,8,1
Matheus Ferreira,Brasil,Francia,Delantero centro,32,55,6
Bernardo Silva,Portugal,Alemania,Arquero,18,3,0
Emmanuel Balogun,Nigeria,Nigeria,Defensa central,30,50,1
Hakim El Haddadi Amrabat,Marruecos,Marruecos,Mediocampista ofensivo,38,115,11
Bruno Ferreira,Brasil,Brasil,Mediocampista defensivo,37,77,19
Nayef Ziyech Ziyech,Marruecos,Francia,Lateral derecho,20,19,2
Julian Weber,Alemania,Senegal,Mediocampista ofensivo,22,13,5
Bruno Santos,Brasil,Estados Unidos,Lateral derecho,34,67,1
Lachlan Smith,Australia,Australia,Lateral derecho,28,60,0
Nabil Fofana,Francia,Argentina,Defensa central,20,12,1
Phil Wilson,Inglaterra,España,Delantero centro,27,65,40
Nicolas Mané,Senegal,Portugal,Mediocampista ofensivo,34,24,8
Julian Schmidt,Alemania,Alemania,Delantero centro,37,52,7
Sofiane El Idrissi,Marruecos,España,Extremo izquierdo,24,33,19
Harry Brown Smith,Inglaterra,Portugal,Delantero centro,38,97,27
Danilo Souza,Brasil,Estados Unidos,Lateral derecho,18,1,0
Jordan Morris Miller,Estados Unidos,Estados Unidos,Arquero,34,85,0
Sofiane El Idrissi Mazraoui,Marruecos,Argentina,Lateral derecho,19,7,1
Sadio Diallo,Senegal,Senegal,Mediocampista ofensivo,21,17,7
Connor Maclaren Leckie,Australia,Australia,Mediocampista ofensivo,38,71,6
Carlos Martínez Alonso,España,España,Lateral derecho,25,54,2
Gio Zimmerman,Estados Unidos,Ecuador,Arquero,26,40,0
Hugo Moreno,España,España,Defensa central,29,90,11
Aurélien Camara Giroud,Francia,Francia,Defensa central,20,18,2
Facundo Romero Molina,Argentina,Portugal,Lateral derecho,34,120,10
Emmanuel Okafor,Nigeria,Nigeria,Delantero centro,21,37,26
Habib Ndiaye Cissé,Senegal,Inglaterra,Arquero,27,21,0
Bukayo Wilson,Inglaterra,España,Defensa central,18,8,2
Timothy Johnson,Estados Unidos,Estados Unidos,Defensa central,25,21,1
Alexis Sánchez Martínez,México,México,Lateral derecho,34,55,4
Gonzalo Pérez,Argentina,Estados Unidos,Lateral izquierdo,32,17,0
Álvaro Ruiz,España,Japón,Defensa central,32,86,14
Jordan Morris,Estados Unidos,Estados Unidos,Delantero centro,19,16,14
Pablo Alonso Pérez,España,Inglaterra,Arquero,31,33,0
Noah Reyna,Estados Unidos,Inglaterra,Mediocampista ofensivo,37,75,20
Habib Koulibaly,Senegal,Senegal,Defensa central,35,42,6
Mathew Mooy Ryan,Australia,Japón,Mediocampista ofensivo,39,33,2
Rafael Silva,Portugal,Argentina,Mediocampista ofensivo,29,67,17
Lamine Diop,Senegal,Francia,Defensa central,31,67,2
Boulaye Diallo Mané,Senegal,Senegal,Arquero,18,3,0
Brandon Pulisic,Estados Unidos,Inglaterra,Extremo derecho,31,97,21
Romain Hakimi,Marruecos,Francia,Mediocampista defensivo,30,83,7
Mehdi Hakimi,Marruecos,Nigeria,Arquero,22,8,0
Santiago Acuña,Argentina,Argentina,Mediocampista defensivo,28,42,6
Lautaro Álvarez,Argentina,Japón,Arquero,30,54,0
Connor Ryan,Australia,Senegal,Mediocampista defensivo,20,22,1
Manuel Koch,Alemania,Estados Unidos,Delantero centro,23,29,13
Phil Taylor Wright,Inglaterra,Inglaterra,Delantero centro,25,27,21
Adrien Camara Giroud,Francia,México,Lateral derecho,35,76,15
Amine El Haddadi,Marruecos,Inglaterra,Extremo derecho,27,35,8
Jeremy Cedeño Arboleda,Ecuador,Ecuador,Lateral derecho,29,21,1
Anas Benali,Marruecos,México,Lateral derecho,37,101,5
Dixon Chávez,Ecuador,Ecuador,Mediocampista defensivo,26,79,10
Gio Zimmerman Reyna,Estados Unidos,Francia,Mediocampista ofensivo,19,23,5
Facundo Romero Fernández,Argentina,Estados Unidos,Defensa central,22,7,0
Kevin Cedeño Arboleda,Ecuador,Ecuador,Lateral izquierdo,26,32,1
Nuno Pereira,Portugal,Francia,Defensa central,26,25,4
Rodrygo Souza,Brasil,Brasil,Extremo izquierdo,22,18,11
Emiliano López,México,México,Defensa central,21,21,0
Lucas Silva,Brasil,Estados Unidos,Delantero centro,38,45,10
Jordy Chávez,Ecuador,Nigeria,Arquero,32,86,0
Koki Morita,Japón,México,Delantero centro,18,2,2
Achraf Bono,Marruecos,Marruecos,Mediocampista defensivo,22,46,9
Rafael Almeida Santos,Brasil,Senegal,Defensa central,19,9,1
Blake Grant,Australia,Alemania,Lateral izquierdo,23,36,1
Raúl Rodríguez,México,México,Extremo derecho,32,101,14
Pape Dieng,Senegal,Senegal,Extremo derecho,37,113,22
Victor Omeruo,Nigeria,Portugal,Defensa central,23,15,3
James Taylor King,Inglaterra,Inglaterra,Defensa central,23,42,3
Nuno Gomes,Portugal,Portugal,Mediocampista ofensivo,36,75,20
Daichi Morita,Japón,Australia,Mediocampista defensivo,29,57,6
Iker García,España,España,Extremo izquierdo,21,12,5
Craig Duke,Australia,Inglaterra,Lateral izquierdo,28,61,6
Kylian Dubois,Francia,Australia,Mediocampista defensivo,32,31,8
Noah Zimmerman,Estados Unidos,Alemania,Mediocampista defensivo,21,15,5
José Quintero,Ecuador,Ecuador,Extremo derecho,19,7,7
Wataru Ito,Japón,Japón,Lateral izquierdo,23,21,4
Julian Wagner,Alemania,España,Mediocampista ofensivo,28,34,9
Thiago Romero,Argentina,España,Delantero centro,20,29,23
Ao Ito Ito,Japón,Japón,Delantero centro,28,49,12
Habib Gueye,Senegal,Senegal,Lateral derecho,22,26,0
Kaoru Sato,Japón,Francia,Mediocampista defensivo,30,96,4
Jack Walker,Inglaterra,Inglaterra,Extremo izquierdo,35,30,4
Sergio Pérez,España,Japón,Arquero,18,4,0
Jeremy Cedeño,Ecuador,Ecuador,Extremo derecho,26,11,6
Declan Walker,Inglaterra,Inglaterra,Defensa central,23,46,3
Kai Richter Müller,Alemania,Alemania,Delantero centro,22,11,2
Thomas Schmidt,Alemania,Francia,Lateral derecho,21,12,2
Moussa Cissé,Senegal,Portugal,Mediocampista ofensivo,25,26,8
Pedro Oliveira,Portugal,Inglaterra,Defensa central,21,17,1
Callum Wilson,Inglaterra,Portugal,Lateral derecho,35,98,2
Victor Musa,Nigeria,Inglaterra,Defensa central,22,23,0
Carlos Martínez Torres,España,Argentina,Mediocampista ofensivo,21,14,5
Luis Arboleda Cedeño,Ecuador,Argentina,Mediocampista defensivo,28,29,2
Tyler Miller,Estados Unidos,Inglaterra,Defensa central,34,77,11
Diogo Ferreira,Portugal,Portugal,Defensa central,22,27,2
Nicolas Dieng,Senegal,Senegal,Extremo derecho,24,41,8
Daichi Tanaka,Japón,Inglaterra,Extremo derecho,25,36,7
Bruno Silva Pereira,Portugal,Alemania,Extremo derecho,26,21,6
Gio Johnson,Estados Unidos,Estados Unidos,Delantero centro,31,112,13
Rafael Ferreira,Portugal,Portugal,Mediocampista ofensivo,19,24,2
Carlos Chávez Ramírez,México,México,Delantero centro,20,18,8
Brandon Adams Robinson,Estados Unidos,Argentina,Lateral derecho,38,27,2
Bilal Amrabat,Marruecos,España,Defensa central,29,58,6
Ibrahim Osimhen,Nigeria,Nigeria,Lateral izquierdo,33,70,5
Yuto Ito,Japón,Japón,Arquero,18,10,0
Caio Oliveira,Brasil,Brasil,Delantero centro,30,77,11
Nabil Martin,Francia,Argentina,Mediocampista ofensivo,27,34,12
Mike Kanté Petit,Francia,Francia,Lateral derecho,27,34,0
Bruno Santos Fernandes,Portugal,Portugal,Arquero,37,115,0
Ahmed Nwankwo,Nigeria,Marruecos,Extremo izquierdo,35,104,11
Javier García,México,Brasil,Lateral izquierdo,31,41,1
Kai Schneider Hoffmann,Alemania,Alemania,Defensa central,31,33,1
Jules Mbappé,Francia,Alemania,Mediocampista ofensivo,18,6,2
Amine Saïss,Marruecos,Alemania,Delantero centro,37,88,35
Jackson Goodwin,Australia,Portugal,Mediocampista ofensivo,19,3,2
Samuel Okafor,Nigeria,Ecuador,Defensa central,23,38,6
Lautaro Martínez,Argentina,Inglaterra,Delantero centro,21,13,12
Adrien Kanté,Francia,España,Extremo izquierdo,18,8,8
Leon Schmidt,Alemania,Alemania,Mediocampista ofensivo,32,28,6
Hakim Bono,Marruecos,Marruecos,Lateral derecho,23,46,4
Ángel Gruezo,Ecuador,Ecuador,Extremo derecho,36,18,10
Mehdi Benali,Marruecos,Inglaterra,Lateral derecho,38,76,4
Declan Walker Wilson,Inglaterra,México,Delantero centro,32,61,47
Aaron Goodwin,Australia,Alemania,Mediocampista ofensivo,25,46,6
Bruno Lima Pereira,Brasil,Alemania,Mediocampista defensivo,30,16,3
Lucas Pérez,Argentina,Inglaterra,Defensa central,28,48,3
Christian Turner,Estados Unidos,Estados Unidos,Extremo derecho,35,99,34
Miles Johnson,Estados Unidos,Estados Unidos,Arquero,31,102,0
Andrés Quintero Méndez,Ecuador,Ecuador,Mediocampista ofensivo,35,77,24
Ayase Endo,Japón,Alemania,Delantero centro,26,45,19
José Preciado,Ecuador,Australia,Mediocampista defensivo,39,52,1
Aaron Duke Duke,Australia,Alemania,Extremo izquierdo,38,90,30
João Neves Ferreira,Portugal,Portugal,Delantero centro,24,27,14
Trent Walker,Inglaterra,Inglaterra,Extremo derecho,22,14,6
Ao Ito Morita,Japón,Japón,Mediocampista defensivo,34,38,6
Koki Sato 944,Japón,Brasil,Delantero centro,26,30,11
Bernardo Ferreira,Portugal,Portugal,Extremo izquierdo,30,18,4
Yuto Kobayashi,Japón,Francia,Extremo derecho,36,41,8
Nabil Diaby,Francia,Francia,Delantero centro,21,7,7
Cameron Morris,Estados Unidos,Estados Unidos,Defensa central,39,24,4
Rafael Pereira,Portugal,Senegal,Lateral izquierdo,39,84,2
Randal Petit,Francia,Argentina,Lateral derecho,28,35,1
Jeremy Chávez,Ecuador,Ecuador,Lateral derecho,35,33,1
Julian Richter Wagner,Alemania,Alemania,Mediocampista defensivo,21,19,1
Phil Brown,Inglaterra,España,Defensa central,32,94,1
Alexis Chávez,México,Inglaterra,Arquero,19,8,0
Mitchell Maclaren,Australia,España,Lateral derecho,24,35,8
Chidera Omeruo,Nigeria,Nigeria,Lateral derecho,37,47,1
Javier Ramírez,México,España,Defensa central,33,39,4
Samuel Iheanacho,Nigeria,Alemania,Lateral izquierdo,29,34,2
Héctor Moreno,México,México,Arquero,22,35,0
Mitchell Rowles,Australia,Australia,Lateral derecho,27,36,2
Bruno Ferreira Pereira,Portugal,Portugal,Delantero centro,35,101,4
Jordan Miller,Estados Unidos,Argentina,Mediocampista ofensivo,34,51,7
Mike Kanté,Francia,México,Defensa central,37,48,2
Riley Leckie,Australia,Australia,Lateral derecho,35,73,13
Victor Okafor,Nigeria,Senegal,Delantero centro,37,77,60
André Fernandes,Portugal,Japón,Lateral derecho,20,4,0
Ismaïla Gueye,Senegal,Senegal,Lateral izquierdo,19,6,1
Alexis Sánchez Chávez,México,México,Extremo izquierdo,21,11,8
Niklas Schmidt Schneider,Alemania,Alemania,Delantero centro,23,27,22
Sadio Dieng,Senegal,España,Delantero centro,26,51,32
Alexis Sánchez,México,México,Lateral derecho,26,29,0
Franco Rodríguez,Argentina,España,Lateral izquierdo,32,45,7
Nayef Bono,Marruecos,Marruecos,Extremo izquierdo,37,87,5
Lamine Cissé Dieng,Senegal,México,Lateral derecho,28,73,1
Emiliano Molina,Argentina,Argentina,Mediocampista defensivo,19,3,2
Sofiane El Haddadi,Marruecos,México,Arquero,28,18,0
Kylian Diaby Diaby,Francia,Francia,Arquero,28,61,0
Pape Ndiaye,Senegal,Argentina,Mediocampista defensivo,37,72,12
Michael Cedeño,Ecuador,Estados Unidos,Defensa central,22,28,0
Florian Schneider,Alemania,Alemania,Delantero centro,32,51,29
Romain Saïss,Marruecos,Marruecos,Delantero centro,39,63,25
Diego Oliveira,Brasil,Brasil,Extremo izquierdo,22,22,12
Brandon Zimmerman,Estados Unidos,Estados Unidos,Mediocampista ofensivo,30,90,7
Matheus Almeida,Brasil,Inglaterra,Extremo derecho,20,13,4
Jhon Preciado,Ecuador,Inglaterra,Lateral izquierdo,26,30,2
João Lima,Brasil,Argentina,Mediocampista ofensivo,20,14,5
Ferran Pérez,España,España,Lateral izquierdo,31,57,4
Nayef El Haddadi,Marruecos,Francia,Delantero centro,33,69,38
Rodrygo Pereira,Brasil,Brasil,Mediocampista defensivo,29,63,2
Jordan Turner,Estados Unidos,Portugal,Defensa central,37,24,2
Walker Turner,Estados Unidos,Estados Unidos,Arquero,36,63,0
Thiago Álvarez,Argentina,Argentina,Lateral derecho,38,75,7
Craig Grant Ryan,Australia,Australia,Mediocampista ofensivo,36,75,22
Nicolás Molina,Argentina,Argentina,Delantero centro,21,23,18
Cheikhou Mané Mané,Senegal,Senegal,Defensa central,30,14,0
Carlos Mina,Ecuador,Inglaterra,Delantero centro,33,18,7
Jude Brown Walker,Inglaterra,Alemania,Extremo izquierdo,19,11,10
Jonas Wagner,Alemania,Francia,Lateral derecho,19,2,1
Kyle White,Inglaterra,Inglaterra,Mediocampista defensivo,25,43,5
Nayef Ziyech Amrabat,Marruecos,Marruecos,Delantero centro,26,31,10
Samuel Onyeka,Nigeria,España,Lateral derecho,32,17,3
Uriel Rodríguez,México,México,Arquero,21,34,0
Lucas Rodríguez,Argentina,Estados Unidos,Delantero centro,19,10,10
Joshua Schneider,Alemania,México,Mediocampista ofensivo,20,6,5
Taiwo Okafor,Nigeria,Nigeria,Mediocampista defensivo,31,82,3
Raúl Sánchez,México,España,Delantero centro,34,50,21
Weston Morris Carter,Estados Unidos,Alemania,Defensa central,21,28,2
Nayef Ziyech Bono,Marruecos,Portugal,Lateral izquierdo,23,27,1
João Costa Oliveira,Brasil,España,Extremo izquierdo,21,8,8
Kylian Diaby Camara,Francia,México,Lateral derecho,20,19,3
Carlos García,México,México,Defensa central,38,25,0
Anas Mazraoui,Marruecos,Estados Unidos,Mediocampista ofensivo,18,2,2
Boulaye Gueye,Senegal,España,Defensa central,35,49,6
Riley Duke,Australia,Portugal,Mediocampista ofensivo,19,12,4
Sergio Ruiz,España,Francia,Lateral derecho,24,30,3
Victor Onyeka Eze,Nigeria,Nigeria,Mediocampista ofensivo,23,47,5
Bryan Quintero,Ecuador,Marruecos,Extremo izquierdo,26,30,1
Gonzalo Molina,Argentina,Argentina,Delantero centro,23,12,11
Kaoru Kobayashi,Japón,Japón,Extremo derecho,35,94,13
Luis Caicedo,Ecuador,Portugal,Extremo derecho,22,39,3
Kevin Quintero,Ecuador,Brasil,Delantero centro,19,12,10
Mateo Sosa,Argentina,España,Arquero,32,25,0
Michael Quintero,Ecuador,Francia,Delantero centro,27,20,20
Blake Rowles,Australia,Japón,Defensa central,19,1,1
Rúben Santos,Portugal,Japón,Delantero centro,39,26,16
Moussa Koulibaly,Senegal,Marruecos,Lateral izquierdo,26,26,1
Florian Becker,Alemania,Inglaterra,Extremo izquierdo,24,29,11
Luis García,México,Australia,Defensa central,33,57,2
Jackson Rowles,Australia,Japón,Mediocampista ofensivo,31,60,10
Diogo Costa,Portugal,Argentina,Lateral izquierdo,38,39,4
Samuel Osimhen,Nigeria,España,Lateral izquierdo,34,114,2
Cameron Reyna,Estados Unidos,Estados Unidos,Defensa central,35,108,5
Antoine Fofana,Francia,Inglaterra,Lateral izquierdo,38,90,9
Lachlan Rowles,Australia,Portugal,Lateral derecho,19,2,1
Ayase Ito,Japón,Alemania,Defensa central,22,23,3
Ritsu Sato,Japón,Japón,Lateral izquierdo,37,65,5
Chidera Onyeka,Nigeria,Nigeria,Extremo derecho,22,23,13
Julian Hoffmann,Alemania,España,Mediocampista defensivo,33,75,5
Uriel Jiménez,México,México,Mediocampista defensivo,32,47,4
Marcos Moreno,España,España,Defensa central,37,72,0
